dataset,min_samples_split,runs,avg_build_time_s,avg_predict_time_s,avg_accuracy,avg_precision,avg_recall,avg_f1
iris,2,10,0.001045,0.0004796,0.9467,0.9516,0.9467,0.9464
iris,5,10,0.0008917,0.0004664,0.9367,0.9471,0.9367,0.9356
iris,10,10,0.0009054,0.0004753,0.94,0.9459,0.94,0.9396
iris,20,10,0.0008157,0.000455,0.93,0.9353,0.93,0.9295
iris,50,10,0.0005247,0.0004519,0.9333,0.9415,0.9333,0.9328
musk,2,10,15.48,0.1599,0.9644,0.9642,0.9644,0.9642
musk,5,10,13.27,0.1519,0.9631,0.9637,0.9631,0.9633
musk,10,10,12.88,0.1516,0.963,0.9636,0.963,0.9632
musk,20,10,11.91,0.1513,0.9555,0.9555,0.9555,0.9554
musk,50,10,10.21,0.1513,0.9552,0.9554,0.9552,0.9553
cancer,2,10,0.08547,0.003234,0.9184,0.9197,0.9184,0.9182
cancer,5,10,0.09225,0.003186,0.9342,0.9355,0.9342,0.9344
cancer,10,10,0.09108,0.003137,0.9123,0.915,0.9123,0.9119
cancer,20,10,0.08585,0.003111,0.9342,0.9379,0.9342,0.9343
cancer,50,10,0.08576,0.00311,0.9088,0.9114,0.9088,0.9081
wine,2,10,3.846,0.02344,0.6039,0.6038,0.6039,0.6033
wine,5,10,3.084,0.02329,0.5855,0.5844,0.5855,0.5847
wine,10,10,2.566,0.02343,0.5702,0.5651,0.5702,0.5671
wine,20,10,1.797,0.02332,0.5534,0.5428,0.5534,0.5468
wine,50,10,1.051,0.02297,0.5376,0.5164,0.5376,0.5221
