dataset,algorithm,k,records,features,accuracy,precision,recall,f1,train_time,pred_time
Iris,NaiveBayes,-,150,4,0.9111111111111111,0.9155354449472096,0.9111111111111111,0.9107142857142857,0.000365399999964211,0.0033603999997922074
Iris,KNN,1,150,4,0.9333333333333333,0.9444444444444444,0.9333333333333333,0.9326599326599326,2.6000000161729986e-06,0.04235190000008515
Iris,KNN,3,150,4,0.9111111111111111,0.9298245614035088,0.9111111111111111,0.9095022624434389,2.3999998575163772e-06,0.04332679999993161
Iris,KNN,5,150,4,0.9111111111111111,0.9298245614035088,0.9111111111111111,0.9095022624434389,2.1999999262334313e-06,0.06171790000007604
Iris,KNN,7,150,4,0.9333333333333333,0.9444444444444444,0.9333333333333333,0.9326599326599326,2.7999999474559445e-06,0.048794300000054136
Iris,KNN,11,150,4,0.9555555555555556,0.9607843137254902,0.9555555555555556,0.9553571428571429,2.100000074278796e-06,0.04266260000008515
Breast Cancer Wisconsin Diagnostic,NaiveBayes,-,569,30,0.935672514619883,0.936274301573142,0.935672514619883,0.9350993774297272,0.0005174999998871499,0.009363600000142469
Breast Cancer Wisconsin Diagnostic,KNN,1,569,30,0.9415204678362573,0.9414097045909634,0.9415204678362573,0.9413270831399486,2.4000000848900527e-06,0.6105039999999917
Breast Cancer Wisconsin Diagnostic,KNN,3,569,30,0.9590643274853801,0.9615779214117164,0.9590643274853801,0.9585285402904317,2.5000001642183634e-06,0.603260599999885
Breast Cancer Wisconsin Diagnostic,KNN,5,569,30,0.9649122807017544,0.9667753454432543,0.9649122807017544,0.9645279368316471,2.3999998575163772e-06,0.6079658999999538
Breast Cancer Wisconsin Diagnostic,KNN,7,569,30,0.9649122807017544,0.9667753454432543,0.9649122807017544,0.9645279368316471,2.300000005561742e-06,0.6070146999998087
Breast Cancer Wisconsin Diagnostic,KNN,11,569,30,0.9532163742690059,0.9547849891231996,0.9532163742690059,0.9527039157755293,2.6000000161729986e-06,0.6178755999999339
Wine Quality,NaiveBayes,-,6497,11,0.42102564102564105,0.43842454922754415,0.42102564102564105,0.42563204753597667,0.001604400000132955,0.31391050000001997
Wine Quality,KNN,1,6497,11,0.6174358974358974,0.6163878963878016,0.6174358974358974,0.6163633380078436,2.300000005561742e-06,80.79458890000001
Wine Quality,KNN,3,6497,11,0.5794871794871795,0.5734265677791018,0.5794871794871795,0.5753539088686309,2.3999998575163772e-06,80.68587360000015
Wine Quality,KNN,5,6497,11,0.5687179487179487,0.555995271395997,0.5687179487179487,0.5592961728203474,3.1000001854408765e-06,81.03074330000004
Wine Quality,KNN,7,6497,11,0.5666666666666667,0.5532578362393695,0.5666666666666667,0.554917023822269,3.1999998100218363e-06,83.93780249999986
Wine Quality,KNN,11,6497,11,0.5558974358974359,0.5428100159142442,0.5558974358974359,0.5394249227020332,2.6000000161729986e-06,83.21077500000001
Musk Version 2,NaiveBayes,-,6598,166,0.793939393939394,0.8688221375643018,0.793939393939394,0.8166965241087478,0.007231199999978344,0.12085539999998218
Musk Version 2,KNN,1,6598,166,0.945959595959596,0.9470127276901338,0.945959595959596,0.9464181574012444,2.4000000848900527e-06,88.59140690000004
Musk Version 2,KNN,3,6598,166,0.9636363636363636,0.9630637114609867,0.9636363636363636,0.9632330434469473,2.4000000848900527e-06,89.51817970000002
Musk Version 2,KNN,5,6598,166,0.9580808080808081,0.9571480194329741,0.9580808080808081,0.957277700996308,2.2000001536071068e-06,87.79231779999986
Musk Version 2,KNN,7,6598,166,0.9580808080808081,0.9571149094262643,0.9580808080808081,0.9570865326632131,2.9000002541579306e-06,87.48206340000024
Musk Version 2,KNN,11,6598,166,0.955050505050505,0.9539252591827044,0.955050505050505,0.9538447729614448,2.8999997994105797e-06,86.980595
