dataset,records,algorithm,accuracy,train_time,pred_time
Iris,30,NaiveBayes,1.0,0.00019620000011855154,0.0004754999999931897
Iris,30,KNN k=5,1.0,4.500000159168849e-06,0.001980099999855156
Iris,60,NaiveBayes,1.0,0.0003126999999949476,0.0013437000002340937
Iris,60,KNN k=5,1.0,3.6999999792897142e-06,0.007349800000156392
Iris,90,NaiveBayes,1.0,0.000309800000195537,0.0022483000002466724
Iris,90,KNN k=5,1.0,3.7999998312443495e-06,0.01613329999963753
Iris,120,NaiveBayes,0.9444444444444444,0.0003022999999302556,0.0027273000000604952
Iris,120,KNN k=5,0.9722222222222222,2.999999651365215e-06,0.027813100000003033
Iris,150,NaiveBayes,0.9111111111111111,0.0003031000001101347,0.0034516999999141262
Iris,150,KNN k=5,0.9111111111111111,3.099999958067201e-06,0.04351059999999052
